1735,CO Buena Vista 2 SSE,20100717,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,CR3000
1701,CO Center A 4 SSW,20091102,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,CR3000
1736,CO Colorado Springs 23 NW,20100630,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,CR3000
1232,CO Cortez 8 SE,20051102,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,CR23X
1232,CO Cortez 8 SE,20100423,,,,CR3000
1728,CO Craig 30 N,20100721,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,CR3000
1108,CO Dinosaur 2 E,20040721,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,CR23X
1108,CO Dinosaur 2 E,20101001,,,,CR3000
1653,CO Eads 16 ENE,20090619,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,CR3000
1733,CO Eagle 13 SSE,20100718,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,CR3000
1711,CO Genoa 35 N,20100701,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,CR3000
1651,CO Grand Junction 9 W,20090617,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,CR3000
1697,CO Kim 9 WSW,20100515,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,CR3000
1110,CO La Junta 17 WSW,20040803,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,T=C0+C1*V+C2*V^2,CR23X
1110,CO La Junta 17 WSW,20091120,,,,CR3000
